70,0
75,1
24,2
10,1
26,3
15,3
3,2
16,5
76,5
39,5
28,2
34,2
94,3
79,3
36,4
65,4
59,3
86,5
71,6
74,4
11,12
22,7
73,4
25,5
35,6
96,5
52,7
4,7
87,6
7,6
12,8
14,5
45,5
21,6
58,7
5,6
64,8
32,11
63,4
61,3
17,9
9,6
72,9
51,9
77,9
47,5
53,8
33,8
54,7
1,6
18,7
68,11
82,6
56,6
81,5
93,5
91,3
49,10
60,9
67,7
43,8
41,4
90,7
31,10
98,7
40,5
80,9
27,7
100,4
97,6
48,10
13,11
19,6
92,8
30,6
57,8
95,7
37,12
84,10
78,7
42,7
89,6
55,8
46,7
99,10
38,7
20,6
69,16
6,8
2,4
66,12
8,8
44,10
62,9
23,13
88,9
85,8
50,12
83,9
29,8
